Signup_Period,Cohort_Index,Companies,Cohort_Size,Retention_Rate
2024-03,24,21,40,0.525
2024-03,25,21,40,0.525
2024-03,26,21,40,0.525
2024-03,27,20,40,0.5
2024-03,28,20,40,0.5
2024-03,29,19,40,0.475
2024-04,0,52,52,1.0
2024-04,1,52,52,1.0
2024-04,2,51,52,0.9807692307692307
2024-04,3,51,52,0.9807692307692307
2024-04,4,49,52,0.9423076923076923
2024-04,5,47,52,0.9038461538461539
2024-04,6,47,52,0.9038461538461539
2024-04,7,47,52,0.9038461538461539
2024-04,8,46,52,0.8846153846153846
2024-04,9,44,52,0.8461538461538461
2024-04,10,41,52,0.7884615384615384
2024-04,11,39,52,0.75
2024-04,12,38,52,0.7307692307692307
2024-04,13,36,52,0.6923076923076923
2024-04,14,35,52,0.6730769230769231
2024-04,15,35,52,0.6730769230769231
2024-04,16,35,52,0.6730769230769231
2024-04,17,33,52,0.6346153846153846
2024-04,18,33,52,0.6346153846153846
2024-04,19,32,52,0.6153846153846154
2024-04,20,31,52,0.5961538461538461
2024-04,21,31,52,0.5961538461538461
2024-04,22,31,52,0.5961538461538461
2024-04,23,31,52,0.5961538461538461
2024-04,24,31,52,0.5961538461538461
2024-04,25,31,52,0.5961538461538461
2024-04,26,31,52,0.5961538461538461
2024-04,27,30,52,0.5769230769230769
2024-04,28,30,52,0.5769230769230769
2024-05,0,43,43,1.0
2024-05,1,43,43,1.0
2024-05,2,43,43,1.0
2024-05,3,43,43,1.0
2024-05,4,41,43,0.9534883720930233
2024-05,5,41,43,0.9534883720930233
2024-05,6,41,43,0.9534883720930233
2024-05,7,40,43,0.9302325581395349
2024-05,8,40,43,0.9302325581395349
2024-05,9,38,43,0.8837209302325582
2024-05,10,37,43,0.8604651162790697
2024-05,11,35,43,0.813953488372093
2024-05,12,33,43,0.7674418604651163
2024-05,13,32,43,0.7441860465116279
2024-05,14,31,43,0.7209302325581395
2024-05,15,31,43,0.7209302325581395
2024-05,16,29,43,0.6744186046511628
2024-05,17,29,43,0.6744186046511628
2024-05,18,29,43,0.6744186046511628
2024-05,19,28,43,0.6511627906976745
2024-05,20,27,43,0.627906976744186
2024-05,21,27,43,0.627906976744186
2024-05,22,27,43,0.627906976744186
2024-05,23,27,43,0.627906976744186
2024-05,24,26,43,0.6046511627906976
2024-05,25,25,43,0.5813953488372093
2024-05,26,24,43,0.5581395348837209
2024-05,27,23,43,0.5348837209302325
2024-06,0,46,46,1.0
2024-06,1,46,46,1.0
2024-06,2,46,46,1.0
2024-06,3,46,46,1.0
2024-06,4,45,46,0.9782608695652174
2024-06,5,44,46,0.9565217391304348
2024-06,6,42,46,0.9130434782608695
2024-06,7,42,46,0.9130434782608695
2024-06,8,40,46,0.8695652173913043
2024-06,9,39,46,0.8478260869565217
2024-06,10,39,46,0.8478260869565217
2024-06,11,39,46,0.8478260869565217
2024-06,12,39,46,0.8478260869565217
2024-06,13,39,46,0.8478260869565217
2024-06,14,38,46,0.8260869565217391
2024-06,15,38,46,0.8260869565217391
2024-06,16,37,46,0.8043478260869565
2024-06,17,36,46,0.782608695652174
2024-06,18,36,46,0.782608695652174
2024-06,19,35,46,0.7608695652173914
2024-06,20,34,46,0.7391304347826086
2024-06,21,33,46,0.717391304347826
2024-06,22,33,46,0.717391304347826
2024-06,23,33,46,0.717391304347826
2024-06,24,33,46,0.717391304347826
2024-06,25,32,46,0.6956521739130435
2024-06,26,32,46,0.6956521739130435
2024-07,0,53,53,1.0
2024-07,1,53,53,1.0
2024-07,2,52,53,0.9811320754716981
2024-07,3,51,53,0.9622641509433962
2024-07,4,50,53,0.9433962264150944
2024-07,5,49,53,0.9245283018867925
2024-07,6,47,53,0.8867924528301887
2024-07,7,45,53,0.8490566037735849
2024-07,8,44,53,0.8301886792452831
2024-07,9,43,53,0.8113207547169812
2024-07,10,41,53,0.7735849056603774
2024-07,11,40,53,0.7547169811320755
2024-07,12,40,53,0.7547169811320755
2024-07,13,39,53,0.7358490566037735
2024-07,14,38,53,0.7169811320754716
2024-07,15,36,53,0.6792452830188679
2024-07,16,36,53,0.6792452830188679
2024-07,17,35,53,0.660377358490566
2024-07,18,33,53,0.6226415094339622
2024-07,19,33,53,0.6226415094339622
2024-07,20,33,53,0.6226415094339622
2024-07,21,32,53,0.6037735849056604
2024-07,22,32,53,0.6037735849056604
2024-07,23,29,53,0.5471698113207547
2024-07,24,28,53,0.5283018867924528
2024-07,25,28,53,0.5283018867924528
2024-08,0,45,45,1.0
2024-08,1,45,45,1.0
2024-08,2,45,45,1.0
2024-08,3,44,45,0.9777777777777777
2024-08,4,42,45,0.9333333333333333
2024-08,5,42,45,0.9333333333333333
2024-08,6,41,45,0.9111111111111111
2024-08,7,41,45,0.9111111111111111
2024-08,8,39,45,0.8666666666666667
2024-08,9,39,45,0.8666666666666667
2024-08,10,37,45,0.8222222222222222
2024-08,11,35,45,0.7777777777777778
2024-08,12,34,45,0.7555555555555555
2024-08,13,34,45,0.7555555555555555
2024-08,14,34,45,0.7555555555555555
2024-08,15,34,45,0.7555555555555555
2024-08,16,33,45,0.7333333333333333
2024-08,17,31,45,0.6888888888888889
2024-08,18,31,45,0.6888888888888889
2024-08,19,30,45,0.6666666666666666
2024-08,20,30,45,0.6666666666666666
2024-08,21,30,45,0.6666666666666666
2024-08,22,29,45,0.6444444444444445
2024-08,23,28,45,0.6222222222222222
2024-08,24,28,45,0.6222222222222222
2024-09,0,49,49,1.0
2024-09,1,49,49,1.0
2024-09,2,49,49,1.0
2024-09,3,48,49,0.9795918367346939
2024-09,4,48,49,0.9795918367346939
2024-09,5,47,49,0.9591836734693877
2024-09,6,46,49,0.9387755102040817
2024-09,7,44,49,0.8979591836734694
2024-09,8,43,49,0.8775510204081632
2024-09,9,42,49,0.8571428571428571
2024-09,10,41,49,0.8367346938775511
2024-09,11,40,49,0.8163265306122449
2024-09,12,39,49,0.7959183673469388
2024-09,13,39,49,0.7959183673469388
2024-09,14,38,49,0.7755102040816326
2024-09,15,37,49,0.7551020408163265
2024-09,16,36,49,0.7346938775510204
2024-09,17,35,49,0.7142857142857143
2024-09,18,35,49,0.7142857142857143
2024-09,19,35,49,0.7142857142857143
2024-09,20,35,49,0.7142857142857143
2024-09,21,35,49,0.7142857142857143
2024-09,22,35,49,0.7142857142857143
2024-09,23,35,49,0.7142857142857143
2024-10,0,67,67,1.0
2024-10,1,67,67,1.0
2024-10,2,66,67,0.9850746268656716
2024-10,3,65,67,0.9701492537313433
2024-10,4,64,67,0.9552238805970149
2024-10,5,62,67,0.9253731343283582
2024-10,6,61,67,0.9104477611940298
2024-10,7,60,67,0.8955223880597015
2024-10,8,58,67,0.8656716417910447
2024-10,9,56,67,0.835820895522388
2024-10,10,56,67,0.835820895522388
2024-10,11,55,67,0.8208955223880597
2024-10,12,54,67,0.8059701492537313
2024-10,13,53,67,0.7910447761194029
2024-10,14,52,67,0.7761194029850746
2024-10,15,51,67,0.7611940298507462
2024-10,16,51,67,0.7611940298507462
2024-10,17,51,67,0.7611940298507462
2024-10,18,50,67,0.746268656716418
2024-10,19,49,67,0.7313432835820896
2024-10,20,49,67,0.7313432835820896
2024-10,21,48,67,0.7164179104477612
2024-10,22,48,67,0.7164179104477612
2024-11,0,51,51,1.0
2024-11,1,51,51,1.0
2024-11,2,51,51,1.0
2024-11,3,51,51,1.0
2024-11,4,50,51,0.9803921568627451
2024-11,5,50,51,0.9803921568627451
2024-11,6,50,51,0.9803921568627451
2024-11,7,50,51,0.9803921568627451
2024-11,8,45,51,0.8823529411764706
2024-11,9,43,51,0.8431372549019608
2024-11,10,42,51,0.8235294117647058
2024-11,11,42,51,0.8235294117647058
2024-11,12,40,51,0.7843137254901961
2024-11,13,38,51,0.7450980392156863
2024-11,14,38,51,0.7450980392156863
2024-11,15,35,51,0.6862745098039216
2024-11,16,35,51,0.6862745098039216
2024-11,17,35,51,0.6862745098039216
2024-11,18,34,51,0.6666666666666666
2024-11,19,33,51,0.6470588235294118
2024-11,20,32,51,0.6274509803921569
2024-11,21,31,51,0.6078431372549019
2024-12,0,49,49,1.0
2024-12,1,49,49,1.0
2024-12,2,48,49,0.9795918367346939
2024-12,3,47,49,0.9591836734693877
2024-12,4,47,49,0.9591836734693877
2024-12,5,46,49,0.9387755102040817
2024-12,6,45,49,0.9183673469387755
2024-12,7,44,49,0.8979591836734694
2024-12,8,44,49,0.8979591836734694
2024-12,9,44,49,0.8979591836734694
2024-12,10,43,49,0.8775510204081632
2024-12,11,43,49,0.8775510204081632
2024-12,12,42,49,0.8571428571428571
2024-12,13,38,49,0.7755102040816326
2024-12,14,37,49,0.7551020408163265
2024-12,15,36,49,0.7346938775510204
2024-12,16,36,49,0.7346938775510204
2024-12,17,35,49,0.7142857142857143
2024-12,18,35,49,0.7142857142857143
2024-12,19,35,49,0.7142857142857143
2024-12,20,34,49,0.6938775510204082
2025-01,0,45,45,1.0
2025-01,1,45,45,1.0
2025-01,2,44,45,0.9777777777777777
2025-01,3,42,45,0.9333333333333333
2025-01,4,41,45,0.9111111111111111
2025-01,5,41,45,0.9111111111111111
2025-01,6,41,45,0.9111111111111111
2025-01,7,41,45,0.9111111111111111
2025-01,8,41,45,0.9111111111111111
2025-01,9,40,45,0.8888888888888888
2025-01,10,40,45,0.8888888888888888
2025-01,11,39,45,0.8666666666666667
2025-01,12,37,45,0.8222222222222222
2025-01,13,34,45,0.7555555555555555
2025-01,14,34,45,0.7555555555555555
2025-01,15,31,45,0.6888888888888889
2025-01,16,30,45,0.6666666666666666
2025-01,17,29,45,0.6444444444444445
2025-01,18,29,45,0.6444444444444445
2025-01,19,28,45,0.6222222222222222
2025-02,0,54,54,1.0
2025-02,1,54,54,1.0
2025-02,2,53,54,0.9814814814814815
2025-02,3,52,54,0.9629629629629629
2025-02,4,50,54,0.9259259259259259
2025-02,5,47,54,0.8703703703703703
2025-02,6,46,54,0.8518518518518519
2025-02,7,44,54,0.8148148148148148
2025-02,8,44,54,0.8148148148148148
2025-02,9,43,54,0.7962962962962963
2025-02,10,43,54,0.7962962962962963
2025-02,11,42,54,0.7777777777777778
2025-02,12,42,54,0.7777777777777778
2025-02,13,41,54,0.7592592592592593
2025-02,14,40,54,0.7407407407407407
2025-02,15,39,54,0.7222222222222222
2025-02,16,38,54,0.7037037037037037
2025-02,17,38,54,0.7037037037037037
2025-02,18,36,54,0.6666666666666666
2025-03,0,53,53,1.0
2025-03,1,53,53,1.0
2025-03,2,53,53,1.0
2025-03,3,51,53,0.9622641509433962
2025-03,4,48,53,0.9056603773584906
2025-03,5,47,53,0.8867924528301887
2025-03,6,46,53,0.8679245283018868
2025-03,7,46,53,0.8679245283018868
2025-03,8,45,53,0.8490566037735849
2025-03,9,41,53,0.7735849056603774
2025-03,10,39,53,0.7358490566037735
2025-03,11,37,53,0.6981132075471698
2025-03,12,37,53,0.6981132075471698
2025-03,13,36,53,0.6792452830188679
2025-03,14,36,53,0.6792452830188679
2025-03,15,36,53,0.6792452830188679
2025-03,16,34,53,0.6415094339622641
2025-03,17,33,53,0.6226415094339622
2025-04,0,54,54,1.0
2025-04,1,54,54,1.0
2025-04,2,52,54,0.9629629629629629
2025-04,3,52,54,0.9629629629629629
2025-04,4,51,54,0.9444444444444444
2025-04,5,51,54,0.9444444444444444
2025-04,6,50,54,0.9259259259259259
2025-04,7,48,54,0.8888888888888888
2025-04,8,47,54,0.8703703703703703
2025-04,9,44,54,0.8148148148148148
2025-04,10,43,54,0.7962962962962963
2025-04,11,43,54,0.7962962962962963
2025-04,12,42,54,0.7777777777777778
2025-04,13,42,54,0.7777777777777778
2025-04,14,42,54,0.7777777777777778
2025-04,15,41,54,0.7592592592592593
2025-04,16,39,54,0.7222222222222222
2025-05,0,65,65,1.0
2025-05,1,65,65,1.0
2025-05,2,65,65,1.0
2025-05,3,64,65,0.9846153846153847
2025-05,4,62,65,0.9538461538461539
2025-05,5,62,65,0.9538461538461539
2025-05,6,62,65,0.9538461538461539
2025-05,7,62,65,0.9538461538461539
2025-05,8,59,65,0.9076923076923077
2025-05,9,59,65,0.9076923076923077
2025-05,10,59,65,0.9076923076923077
2025-05,11,58,65,0.8923076923076924
2025-05,12,57,65,0.8769230769230769
2025-05,13,56,65,0.8615384615384616
2025-05,14,56,65,0.8615384615384616
2025-05,15,54,65,0.8307692307692308
2025-06,0,54,54,1.0
2025-06,1,54,54,1.0
2025-06,2,53,54,0.9814814814814815
2025-06,3,51,54,0.9444444444444444
2025-06,4,49,54,0.9074074074074074
2025-06,5,48,54,0.8888888888888888
2025-06,6,48,54,0.8888888888888888
2025-06,7,47,54,0.8703703703703703
2025-06,8,46,54,0.8518518518518519
2025-06,9,45,54,0.8333333333333334
2025-06,10,44,54,0.8148148148148148
2025-06,11,44,54,0.8148148148148148
2025-06,12,43,54,0.7962962962962963
2025-06,13,42,54,0.7777777777777778
2025-06,14,42,54,0.7777777777777778
2025-07,0,50,50,1.0
2025-07,1,50,50,1.0
2025-07,2,50,50,1.0
2025-07,3,48,50,0.96
2025-07,4,47,50,0.94
2025-07,5,47,50,0.94
2025-07,6,45,50,0.9
2025-07,7,41,50,0.82
2025-07,8,41,50,0.82
2025-07,9,40,50,0.8
2025-07,10,39,50,0.78
2025-07,11,39,50,0.78
2025-07,12,38,50,0.76
2025-07,13,38,50,0.76
2025-08,0,56,56,1.0
2025-08,1,56,56,1.0
2025-08,2,56,56,1.0
2025-08,3,55,56,0.9821428571428571
2025-08,4,54,56,0.9642857142857143
2025-08,5,53,56,0.9464285714285714
2025-08,6,50,56,0.8928571428571429
2025-08,7,49,56,0.875
2025-08,8,47,56,0.8392857142857143
2025-08,9,45,56,0.8035714285714286
2025-08,10,44,56,0.7857142857142857
2025-08,11,43,56,0.7678571428571429
2025-08,12,40,56,0.7142857142857143
2025-09,0,58,58,1.0
2025-09,1,58,58,1.0
2025-09,2,58,58,1.0
2025-09,3,57,58,0.9827586206896551
2025-09,4,55,58,0.9482758620689655
2025-09,5,53,58,0.9137931034482759
2025-09,6,53,58,0.9137931034482759
2025-09,7,53,58,0.9137931034482759
2025-09,8,53,58,0.9137931034482759
2025-09,9,53,58,0.9137931034482759
2025-09,10,52,58,0.896551724137931
2025-09,11,51,58,0.8793103448275862
2025-10,0,67,67,1.0
2025-10,1,67,67,1.0
2025-10,2,66,67,0.9850746268656716
2025-10,3,64,67,0.9552238805970149
2025-10,4,61,67,0.9104477611940298
2025-10,5,59,67,0.8805970149253731
2025-10,6,57,67,0.8507462686567164
2025-10,7,56,67,0.835820895522388
2025-10,8,55,67,0.8208955223880597
2025-10,9,50,67,0.746268656716418
2025-10,10,47,67,0.7014925373134329
2025-11,0,57,57,1.0
2025-11,1,57,57,1.0
2025-11,2,56,57,0.9824561403508771
2025-11,3,55,57,0.9649122807017544
2025-11,4,52,57,0.9122807017543859
2025-11,5,51,57,0.8947368421052632
2025-11,6,50,57,0.8771929824561403
2025-11,7,49,57,0.8596491228070176
2025-11,8,48,57,0.8421052631578947
2025-11,9,48,57,0.8421052631578947
2025-12,0,75,75,1.0
2025-12,1,75,75,1.0
2025-12,2,74,75,0.9866666666666667
2025-12,3,73,75,0.9733333333333334
2025-12,4,72,75,0.96
2025-12,5,69,75,0.92
2025-12,6,69,75,0.92
2025-12,7,66,75,0.88
2025-12,8,63,75,0.84
2026-01,0,52,52,1.0
2026-01,1,52,52,1.0
2026-01,2,51,52,0.9807692307692307
2026-01,3,50,52,0.9615384615384616
2026-01,4,50,52,0.9615384615384616
2026-01,5,49,52,0.9423076923076923
2026-01,6,48,52,0.9230769230769231
2026-01,7,47,52,0.9038461538461539
2026-02,0,58,58,1.0
2026-02,1,58,58,1.0
2026-02,2,56,58,0.9655172413793104
2026-02,3,55,58,0.9482758620689655
2026-02,4,55,58,0.9482758620689655
2026-02,5,54,58,0.9310344827586207
2026-02,6,53,58,0.9137931034482759
2026-03,0,74,74,1.0
2026-03,1,74,74,1.0
2026-03,2,74,74,1.0
2026-03,3,71,74,0.9594594594594594
2026-03,4,65,74,0.8783783783783784
2026-03,5,63,74,0.8513513513513513
2026-04,0,62,62,1.0
2026-04,1,62,62,1.0
2026-04,2,60,62,0.967741935483871
2026-04,3,59,62,0.9516129032258065
2026-04,4,58,62,0.9354838709677419
2026-05,0,78,78,1.0
2026-05,1,78,78,1.0
2026-05,2,77,78,0.9871794871794872
2026-05,3,76,78,0.9743589743589743
2026-06,0,76,76,1.0
2026-06,1,76,76,1.0
2026-06,2,75,76,0.9868421052631579
2026-07,0,73,73,1.0
2026-07,1,73,73,1.0
2026-08,0,68,68,1.0
