Company_ID,Signup_Date,Industry,Country,Company_Size,Employees,Plan,Monthly_Fee,Contract_Type,Acquisition_Channel,Reduction_Target_Pct,Avg_Monthly_Logins,Avg_Reports_Generated,Avg_Data_Completeness_Pct,Initial_CO2_kg,Latest_CO2_kg,Observed_Reduction_Pct,Churn_Status,Churn_Date,Months_Active,Lifetime_Revenue
ECO00121,2024-01-25,Professional Services,India,Small,72,Business,249,Annual,Outbound Sales,22,11.7,3.9,92.7,2244.52,2250.87,-0.28,Active,,32,7968
ECO00122,2024-12-27,Logistics,Germany,Large,1022,Enterprise,699,Annual,Organic Search,13,10.6,3.7,90.6,51105.19,47607.16,6.84,Active,,21,14679
ECO00123,2025-12-08,Retail,USA,Micro,7,Business,249,Monthly,Partner,18,12.3,4.3,95.6,241.83,228.47,5.52,Active,,9,2241
ECO00124,2024-03-22,Hospitality,USA,Micro,18,Business,249,Monthly,Referral,13,9.7,3.5,89.9,812.96,760.13,6.5,Active,,30,7470
ECO00125,2026-04-03,Manufacturing,UK,Micro,8,Professional,99,Monthly,Referral,16,8.6,2.8,90.6,540.25,506.3,6.28,Active,,5,495
ECO00126,2026-01-27,Technology,UK,Micro,10,Professional,99,Monthly,Organic Search,15,9.5,3.1,85.2,314.52,318.09,-1.14,Active,,8,792
ECO00127,2026-04-26,Education,Canada,Micro,18,Starter,39,Monthly,Referral,23,12.8,4.2,96.4,520.46,545.21,-4.76,Active,,5,195
ECO00128,2025-07-01,Logistics,Germany,Small,27,Starter,39,Monthly,Partner,16,7.1,2.4,81.8,1359.55,1326.26,2.45,Active,,14,546
ECO00129,2026-02-10,Hospitality,UK,Small,50,Professional,99,Monthly,Organic Search,14,8.0,3.0,88.3,2042.96,2137.2,-4.61,Churned,2026-03-31,2,198
ECO00130,2024-12-11,Professional Services,UK,Medium,294,Business,249,Monthly,Organic Search,16,10.4,3.4,94.6,7676.8,8317.55,-8.35,Churned,2025-04-30,5,1245
ECO00131,2024-10-27,Technology,Germany,Small,56,Business,249,Annual,Organic Search,7,9.4,2.9,89.6,1586.74,1547.35,2.48,Active,,23,5727
ECO00132,2025-01-20,Technology,France,Small,74,Starter,39,Annual,Referral,15,11.3,4.0,93.7,2161.82,2118.56,2.0,Active,,20,780
ECO00133,2025-02-26,Retail,Canada,Small,77,Business,249,Monthly,Partner,9,11.7,3.6,95.5,2800.29,2508.75,10.41,Active,,19,4731
ECO00134,2025-08-26,Retail,UK,Micro,18,Business,249,Annual,LinkedIn,9,10.7,3.4,93.8,635.38,625.99,1.48,Active,,13,3237
ECO00135,2024-12-01,Hospitality,Germany,Small,65,Professional,99,Annual,LinkedIn,19,12.0,4.1,95.1,3051.09,2691.84,11.77,Active,,21,2079
ECO00136,2024-08-22,Professional Services,USA,Micro,18,Business,249,Monthly,LinkedIn,14,10.2,4.2,91.0,534.38,458.22,14.25,Active,,25,6225
ECO00137,2026-05-12,Logistics,Netherlands,Micro,13,Professional,99,Annual,Outbound Sales,26,11.0,3.0,91.8,657.05,653.7,0.51,Active,,4,396
ECO00138,2025-09-09,Technology,India,Micro,13,Business,249,Monthly,Organic Search,19,10.6,4.0,94.5,442.61,380.18,14.1,Active,,12,2988
ECO00139,2026-03-27,Retail,Germany,Small,55,Professional,99,Annual,LinkedIn,5,12.0,4.0,93.9,1888.11,1925.41,-1.98,Active,,6,594
ECO00140,2026-04-04,Healthcare,Australia,Small,22,Starter,39,Annual,Paid Search,18,12.0,2.0,91.2,1029.36,1042.23,-1.25,Churned,2026-05-31,2,78
ECO00141,2024-10-02,Retail,Australia,Large,437,Enterprise,699,Monthly,Paid Search,18,11.0,2.0,87.1,16297.49,16458.82,-0.99,Churned,2024-11-30,2,1398
ECO00142,2025-03-01,Professional Services,India,Medium,161,Enterprise,699,Annual,Organic Search,22,9.8,3.6,90.4,5324.54,5020.6,5.71,Active,,18,12582
ECO00143,2025-03-13,Hospitality,France,Small,45,Starter,39,Annual,Outbound Sales,21,10.9,3.7,93.8,1703.91,1463.55,14.11,Active,,18,702
ECO00144,2024-06-19,Manufacturing,USA,Medium,274,Professional,99,Monthly,Paid Search,32,10.8,3.3,91.7,19182.61,17637.85,8.05,Churned,2024-11-30,6,594
ECO00145,2025-10-15,Retail,Germany,Medium,154,Professional,99,Monthly,LinkedIn,19,8.2,2.8,82.0,5423.09,4889.63,9.84,Active,,11,1089
ECO00146,2026-05-17,Retail,UK,Micro,18,Business,249,Monthly,Paid Search,16,10.5,3.2,89.0,645.43,581.68,9.88,Active,,4,996
ECO00147,2024-09-17,Retail,UK,Small,57,Professional,99,Annual,LinkedIn,10,12.6,3.7,95.2,1938.74,1703.24,12.15,Active,,24,2376
ECO00148,2026-07-12,Logistics,Canada,Medium,143,Starter,39,Annual,Partner,9,10.0,3.5,94.9,7484.5,7205.02,3.73,Active,,2,78
ECO00149,2026-05-16,Education,Australia,Medium,85,Starter,39,Annual,Outbound Sales,16,7.0,2.0,78.4,2516.5,2474.12,1.68,Active,,4,156
ECO00150,2025-05-25,Retail,USA,Small,20,Starter,39,Annual,Paid Search,25,10.9,4.1,92.5,736.69,631.78,14.24,Active,,16,624
ECO00151,2026-08-23,Professional Services,India,Small,47,Starter,39,Monthly,Partner,17,6.0,1.0,86.6,1553.82,1553.82,0.0,Active,,1,39
ECO00152,2025-04-18,Professional Services,Canada,Small,58,Enterprise,699,Monthly,,5,11.3,4.1,92.2,1681.06,1641.26,2.37,Churned,2025-10-31,7,4893
ECO00153,2025-07-12,Professional Services,India,Medium,124,Business,249,Monthly,Referral,20,8.1,3.3,86.1,4021.6,3901.56,2.98,Churned,2026-01-31,7,1743
ECO00154,2024-01-26,Manufacturing,UK,Medium,87,Professional,99,Monthly,Paid Search,12,8.4,2.5,87.4,6522.52,6039.85,7.4,Churned,2024-10-31,10,990
ECO00155,2024-10-13,Retail,Germany,Medium,117,Starter,39,Annual,Outbound Sales,21,5.4,2.0,80.0,3869.26,3908.51,-1.01,Churned,2025-05-31,8,312
ECO00156,2025-06-06,Technology,USA,Small,40,Starter,39,Monthly,LinkedIn,27,10.3,3.4,93.2,1316.26,1258.55,4.38,Active,,15,585
ECO00157,2025-10-04,Healthcare,USA,Small,52,Starter,39,Monthly,LinkedIn,19,9.5,3.0,84.9,2417.89,2257.91,6.62,Active,,11,429
ECO00158,2026-03-02,Logistics,India,Small,75,Professional,99,Monthly,Organic Search,23,9.8,2.5,89.1,3591.07,3315.09,7.69,Active,,6,594
ECO00159,2025-12-18,Retail,Germany,Large,564,Business,249,Annual,Outbound Sales,22,12.0,3.9,94.4,20343.87,21208.96,-4.25,Active,,9,2241
ECO00160,2026-03-18,Manufacturing,Germany,Small,79,Professional,99,Monthly,Organic Search,18,14.7,3.7,95.1,5195.37,5460.18,-5.1,Active,,6,594
ECO00161,2025-05-25,Retail,UK,Small,26,Professional,99,Annual,Organic Search,20,11.8,3.7,94.2,1002.44,892.76,10.94,Active,,16,1584
ECO00162,2024-09-21,Manufacturing,France,Micro,5,Business,249,Annual,Organic Search,20,9.7,3.1,89.8,337.78,320.32,5.17,Active,,24,5976
ECO00163,2026-04-11,Professional Services,France,Micro,13,Starter,39,Annual,Partner,8,9.2,3.6,86.5,349.66,344.5,1.48,Active,,5,195
ECO00164,2024-11-11,Professional Services,USA,Medium,266,Starter,39,Annual,Referral,23,10.2,3.4,89.5,7775.11,7354.31,5.41,Churned,2026-06-30,20,780
ECO00165,2025-10-23,Professional Services,USA,Micro,9,Professional,99,Annual,LinkedIn,16,10.3,2.9,88.0,280.16,281.19,-0.37,Churned,2026-07-31,10,990
ECO00166,2024-07-11,Logistics,India,Medium,128,Professional,99,Annual,Partner,5,11.9,4.2,95.5,7341.86,6711.07,8.59,Active,,26,2574
ECO00167,2026-07-20,Healthcare,India,Medium,231,Professional,99,Monthly,Paid Search,32,13.0,4.5,96.9,10689.88,10440.97,2.33,Active,,2,198
ECO00168,2024-10-16,Logistics,France,Small,27,Starter,39,Annual,Organic Search,15,9.7,3.0,90.4,1322.34,1223.92,7.44,Active,,23,897
